english_name,japanese_names,jp_candidate_count,example_set_id,example_number
Alolan Geodude,アローライシツブテ,1,a46aa9cd-922a-487f-a7f2-940f9a23ef57,15
Alolan Golem,アローラゴローニャ,1,a46aa9cd-922a-487f-a7f2-940f9a23ef57,17
Alolan Golem-GX,アローラゴローニャGX,1,133c791b-7cad-484f-843a-1fdb007af685,18
Alolan Graveler,アローラゴローン,1,a46aa9cd-922a-487f-a7f2-940f9a23ef57,16
Alolan Grimer,アローラ ベトベター | アローラベトベター,2,67f367c1-a48d-4f82-8b03-0cea6da851bb,41
Alolan Marowak,アローラガラガラ,1,4fc047cb-d0d5-4086-b6dd-8f0b1d5dad42,13
Alolan Meowth,アローラニャース,1,67f367c1-a48d-4f82-8b03-0cea6da851bb,39
Alolan Muk,アローラベトベトン,1,67f367c1-a48d-4f82-8b03-0cea6da851bb,42
Alolan Muk-GX,アローラベトベトンGX,1,a8568729-9fae-4f33-bea1-c887bbc3f41a,33
Alolan Ninetales,アローラキュウコン,1,4a261245-088f-4357-a2ff-6c7890e11543,56
Alolan Ninetales-GX,アローラキュウコンGX,1,30503cd2-8ced-45f5-9b2f-acd3ee55c09a,95
Alolan Persian,アローラペルシアン,1,c9f7833f-defe-4d99-b45a-33fcb5a1fb14,33
Alolan Persian-GX,アローラペルシアンGX,1,67f367c1-a48d-4f82-8b03-0cea6da851bb,40
Alolan Raichu,アローラライチュウ,1,4fc047cb-d0d5-4086-b6dd-8f0b1d5dad42,10
Alolan Raticate,アローラ ラッタ | アローララッタ,2,af81f07b-2345-4f9e-baf5-adfa2bcdb807,36
Alolan Rattata,アローラ コラッタ | アローラコラッタ,2,af81f07b-2345-4f9e-baf5-adfa2bcdb807,35
Alolan Sandshrew,アローラサンド,1,4a261245-088f-4357-a2ff-6c7890e11543,51
Alolan Sandslash,アローラサンドパン,1,4a261245-088f-4357-a2ff-6c7890e11543,52
Alolan Vulpix,アローラロコン,1,4a261245-088f-4357-a2ff-6c7890e11543,16
Alolan Vulpix V,アローラ ロコンV,1,012908fb-007c-486d-85ba-d2fcf10d833d,22
Alolan Vulpix VSTAR,アローラ ロコンVSTAR,1,012908fb-007c-486d-85ba-d2fcf10d833d,23
Alomomola,ママンボウ,1,a46aa9cd-922a-487f-a7f2-940f9a23ef57,12
Altar of the Moone,月輪の祭壇,1,575b3ae4-5c0c-4abc-93f8-f1f4cc71974a,50
Altar of the Sunne,日輪の祭壇,1,575b3ae4-5c0c-4abc-93f8-f1f4cc71974a,51
Altaria,チルタリス,1,012908fb-007c-486d-85ba-d2fcf10d833d,57
Altaria ex,チルタリスex,1,1d6a22e1-15be-46ec-bfa4-71adffe1213e,46
Altaria Spirit Link,チルタリスソウルリンク,1,738567d0-701f-448b-bba6-70a6b90dbcc4,74
Altaria-EX,チルタリスEX,1,738567d0-701f-448b-bba6-70a6b90dbcc4,63
Altaria-GX,チルタリスGX,1,02909cf1-28d7-484f-bede-01b7da714ab6,61
Amarys,ネリネ,1,d89dc0ae-ec18-4b7e-a147-29ceffa71c2f,173
Amaura,アマルス,1,adc82cca-bad7-4c21-88f1-14482564992e,23
Ambipom,エテボース,1,54450e62-c2ee-4136-b175-6191e3a2acfc,60
Amoonguss,モロバレル,1,ca93c4b2-7d37-4881-9306-c30f64a19b88,9
Ampharos,デンリュウ,1,c56a482d-7434-4e00-bc54-16c38f187c4e,20
Ampharos V,デンリュウV,1,5ef17897-aa4b-47b6-ba3f-437267d27a85,14
Ampharos-EX,デンリュウEX,1,e19dcfd0-93f5-498e-bc42-b724ceb38c83,85
Ampharos-GX,デンリュウGX,1,424e31c9-b164-41cc-bc8b-67667edfab53,6
Amulet of Hope,希望のアミュレット,1,6d9ff692-c95f-40d8-aef9-58089eb14260,98
Ancient Booster Energy Capsule,ブーストエナジー 古代,1,41226239-da09-4293-b6a3-d53c92094bf5,61
Ancient Crystal,古代のクリスタル,1,02774e64-31dd-4b6c-a9b3-65c24144066e,100
Annihilape,コノヨザル,1,c747cf6e-7ba4-4ec5-8288-d40293a4565f,47
Annihilape ex,コノヨザルex,1,e86bad58-b459-4ac3-a82c-a122cf1755d6,40
Anorith,アノプス,1,248d92ee-d69e-493d-9d4b-0960134db32f,49
Antique Cover Fossil,古びたふたの化石,1,1b0c8034-f89e-45bd-9339-da3e9963ce3f,80
Antique Dome Fossil,古びたこうらの化石,1,bb411b0c-7378-4681-8d40-30958187c747,155
Antique Helix Fossil,古びたかいの化石,1,bb411b0c-7378-4681-8d40-30958187c747,154
Antique Old Amber,古びたひみつのコハク,1,bb411b0c-7378-4681-8d40-30958187c747,156
Antique Plume Fossil,古びたはねの化石,1,02eba1f1-ab17-434f-b54f-3213cbb54ca3,81
Antique Root Fossil,古びたねっこの化石,1,db8504f1-e9f0-4e60-954a-4818040cfe98,90
Appletun,タルップル,1,154b30d7-3fc1-4322-af22-f39b9c881d45,47
Applin,カジッチュ,1,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,12
Apricorn Maker,ぼんぐり職人,1,1778f144-2fa0-4cf0-b7ed-b8a42a4f4526,63
Aqua Diffuser,アクアディフューザー,1,cbbbd49a-cc8b-4bbe-83f2-29ebc09f25e3,25
Aqua Patch,アクアパッチ,1,a46aa9cd-922a-487f-a7f2-940f9a23ef57,47
Araquanid,オニシズクモ,1,ca93c4b2-7d37-4881-9306-c30f64a19b88,32
Arbok,アーボック,1,03ce403b-f7de-460e-931e-27de38cd44ca,26
Arbok ex,アーボックex,1,bb411b0c-7378-4681-8d40-30958187c747,24
Arboliva,オリーヴァ,1,0e5e9c85-befb-4767-b2e3-748891d46454,8
Arboliva ex,オリーヴァex,1,c747cf6e-7ba4-4ec5-8288-d40293a4565f,12
Arc Phone,アルセウスフォン,1,54450e62-c2ee-4136-b175-6191e3a2acfc,63
Arcanine,ウインディ,1,012908fb-007c-486d-85ba-d2fcf10d833d,13
Arcanine ex,ウインディex,1,15f71d52-9415-472d-a5cb-2397e385979c,16
Arceus,アルセウス,1,905e9463-b7ea-4ce1-9b8d-6ecd68b302ce,35
Arceus & Dialga & Palkia-GX,アルセウス&ディアルガ&パルキアGX,1,4a261245-088f-4357-a2ff-6c7890e11543,65
Arceus V,アルセウスV,1,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,126
Arceus VSTAR,アルセウスVSTAR,1,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,127
Arceus ◇,アルセウス,1,7b4aebdd-ad4e-4fd2-a4a1-50ed98bc4e51,37
Archaludon,ブリジュラス,1,db8504f1-e9f0-4e60-954a-4818040cfe98,73
Archaludon ex,ブリジュラスex,1,154b30d7-3fc1-4322-af22-f39b9c881d45,37
Archen,アーケン,1,248d92ee-d69e-493d-9d4b-0960134db32f,82
Archeops,アーケオス,1,248d92ee-d69e-493d-9d4b-0960134db32f,83
Archie's Ace in the Hole,アオギリの切り札,1,a03039bf-3a15-4b15-9d4f-634488fa9e48,66
Arctibax,セゴール,1,e86bad58-b459-4ac3-a82c-a122cf1755d6,26
Arctovish,ウオチルドン,1,43366684-3ba6-4b69-a815-9c96da64469d,51
Arctovish V,ウオチルドンV,1,c56a482d-7434-4e00-bc54-16c38f187c4e,17
Arctozolt,パッチルドン,1,43366684-3ba6-4b69-a815-9c96da64469d,64
Area Zero Underdepths,ゼロの大空洞,1,db8504f1-e9f0-4e60-954a-4818040cfe98,102
Arezu,ヒナツ,1,54450e62-c2ee-4136-b175-6191e3a2acfc,69
Ariados,アリアドス,1,248d92ee-d69e-493d-9d4b-0960134db32f,7
Armaldo,アーマルド,1,248d92ee-d69e-493d-9d4b-0960134db32f,50
Armarouge,グレンアルマ,1,0e5e9c85-befb-4767-b2e3-748891d46454,12
Armarouge ex,グレンアルマex,1,41226239-da09-4293-b6a3-d53c92094bf5,15
Aroma Lady,アロマなおねえさん,1,a29ec842-6bdb-4f63-9b66-6d63ca4e67cf,66
Aromatic Grass Energy,アロマ草エネルギー,1,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,171
Aromatisse,フレフワン,1,0bf8b1be-1ffe-4105-957e-f4d47b905e05,38
Aron,ココドラ,1,248d92ee-d69e-493d-9d4b-0960134db32f,65
Arrokuda,サシカマス,1,c747cf6e-7ba4-4ec5-8288-d40293a4565f,29
Artazon,ボウルタウン,1,af1234fc-0c84-4c51-ba4c-cc74829e2d03,70
Articuno,フリーザー,1,012908fb-007c-486d-85ba-d2fcf10d833d,24
Articuno-EX,フリーザーEX,1,d80a5f18-cad8-457f-90e6-3fbfd527f8c2,16
Articuno-GX,フリーザーGX,1,1778f144-2fa0-4cf0-b7ed-b8a42a4f4526,14
Arven,ペパー,1,15f71d52-9415-472d-a5cb-2397e385979c,76
Arven's Greedent,ペパーのヨクバリス,1,562e3ff7-4148-430b-8ea4-e1308f56d05e,55
Arven's Mabosstiff ex,ペパーのマフィティフex,1,562e3ff7-4148-430b-8ea4-e1308f56d05e,52
Arven's Maschiff,ペパーのオラチフ,1,562e3ff7-4148-430b-8ea4-e1308f56d05e,51
Arven's Sandwich,ペパーのサンドウィッチ,1,562e3ff7-4148-430b-8ea4-e1308f56d05e,57
Arven's Skwovet,ペパーのホシガリス,1,562e3ff7-4148-430b-8ea4-e1308f56d05e,54
Arven's Toedscool,ペパーのノノクラゲ,1,562e3ff7-4148-430b-8ea4-e1308f56d05e,47
Arven's Toedscruel,ペパーのリククラゲ,1,562e3ff7-4148-430b-8ea4-e1308f56d05e,48
Aspertia City Gym,ヒオウギシティジム,1,55fb9c24-1735-4a8c-b090-eebabf950f94,57
Assault Vest,とつげきチョッキ,1,ef6bc45c-08a8-4349-8017-1717b108d3c8,55
Assistance Bell,おたすけベル,1,154b30d7-3fc1-4322-af22-f39b9c881d45,53
Atticus,シュウメイ,1,d89dc0ae-ec18-4b7e-a147-29ceffa71c2f,191
Audino,タブンネ,1,03ce403b-f7de-460e-931e-27de38cd44ca,40
Aurora Energy,オーロラエネルギー,1,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,181
Aurorus,アマルルガ,1,adc82cca-bad7-4c21-88f1-14482564992e,24
Avalugg,クレベース,1,ec2d763e-ea05-4f77-ade2-b439f60a2adb,26
Avery,セイボリー,1,b8da2cc6-5a50-4b94-898d-bbb675e70c0a,68
Awakening Drum,覚醒のドラム,1,87789899-88a8-4a22-81d5-44cb932626af,62
Axew,キバゴ,1,4fc047cb-d0d5-4086-b6dd-8f0b1d5dad42,34
AZ,AZ,1,c5895636-5372-42da-a880-777a0a52416a,84
Azelf,アグノム,1,6e0a46c7-e469-4972-ba98-131cf67c7c94,31
Azumarill,マリルリ,1,a8568729-9fae-4f33-bea1-c887bbc3f41a,20
Azurill,ルリリ,1,4a261245-088f-4357-a2ff-6c7890e11543,57
Babiri Berry,リリバのみ,1,6d9ff692-c95f-40d8-aef9-58089eb14260,100
Bagon,タツベイ,1,1778f144-2fa0-4cf0-b7ed-b8a42a4f4526,43
Ball Guy,ボールガイ,1,43366684-3ba6-4b69-a815-9c96da64469d,175
Baltoy,ヤジロン,1,248d92ee-d69e-493d-9d4b-0960134db32f,47
Banette,ジュペッタ,1,ca93c4b2-7d37-4881-9306-c30f64a19b88,46
Banette ex,ジュペッタex,1,15f71d52-9415-472d-a5cb-2397e385979c,41
Banette-GX,ジュペッタGX,1,1778f144-2fa0-4cf0-b7ed-b8a42a4f4526,31
Barbaracle,ガメノデス,1,ca93c4b2-7d37-4881-9306-c30f64a19b88,61
Barboach,ドジョッチ,1,0380eb72-bbcd-401c-ba09-fec23007efa7,21
Barraskewda,カマスジョー,1,c747cf6e-7ba4-4ec5-8288-d40293a4565f,30
Basculin,バスラオ,1,14496d8f-d11f-4779-bc03-b5a0e25a8a4b,15
Basic Darkness Energy,基本悪エネルギー,1,41226239-da09-4293-b6a3-d53c92094bf5,95
Basic Fighting Energy,基本闘エネルギー,1,0e5e9c85-befb-4767-b2e3-748891d46454,108
Basic Fire Energy,基本炎エネルギー,1,eb9a2ae1-f752-48e2-bd6e-4a3103023949,141
Basic Grass Energy,基本草エネルギー,1,34dac2ab-c4e1-429a-a8f7-a057ae021a67,99
Basic Lightning Energy,基本雷エネルギー,1,15f71d52-9415-472d-a5cb-2397e385979c,108
Basic Metal Energy,基本鋼エネルギー,1,1d6a22e1-15be-46ec-bfa4-71adffe1213e,95
Basic Psychic Energy,基本超エネルギー,1,bb411b0c-7378-4681-8d40-30958187c747,210
Basic Water Energy,基本水エネルギー,1,e86bad58-b459-4ac3-a82c-a122cf1755d6,99
Bastiodon,トリデプス,1,6e0a46c7-e469-4972-ba98-131cf67c7c94,47
Battle Compressor,バトルコンプレッサー(フレア団ギア),1,c5895636-5372-42da-a880-777a0a52416a,79
Battle Reporter,バトルレポーター,1,18513f31-8b41-4783-9b7b-43ea49365192,91
Battle VIP Pass,バトルVIPパス,1,a945665e-c81a-4c03-924d-624a07458341,91
Baxcalibur,セグレイブ,1,e86bad58-b459-4ac3-a82c-a122cf1755d6,27
Bayleef,ベイリーフ,1,ac71e58e-df22-4e89-89a6-7e939bd6632a,4
Bea,サイトウ,1,55532dfc-3744-4734-b6b3-db9157b43812,93
Beach Court,ビーチコート,1,0e5e9c85-befb-4767-b2e3-748891d46454,78
Beartic,ツンベアー,1,012f4320-fb6b-4541-b502-a185ca139451,33
Beast Bringer,ビーストブリンガー,1,a7880f19-342f-4727-8b28-2ad012936a2f,45
Beast Energy ◇,ビーストエネルギー,1,30503cd2-8ced-45f5-9b2f-acd3ee55c09a,172
Beast Ring,ビーストリング,1,30503cd2-8ced-45f5-9b2f-acd3ee55c09a,126
Beastite,ビーストナイト,1,4a261245-088f-4357-a2ff-6c7890e11543,86
Beautifly,アゲハント,1,54450e62-c2ee-4136-b175-6191e3a2acfc,6
Beauty,おとなのおねえさん,1,5ef17897-aa4b-47b6-ba3f-437267d27a85,70
Bede,ビート,1,e7364633-fbf1-400c-8da2-63b129f42c38,60
Beedrill,スピアー,1,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,3
Beedrill Spirit Link,スピアーソウルリンク,1,a4b22717-7318-403a-8743-77bfda0624d7,113
Beedrill V,スピアーV,1,6e0a46c7-e469-4972-ba98-131cf67c7c94,1
Beedrill-EX,スピアーEX,1,a4b22717-7318-403a-8743-77bfda0624d7,1
Beheeyem,オーベム,1,248d92ee-d69e-493d-9d4b-0960134db32f,44
Beldum,ダンバル,1,ca93c4b2-7d37-4881-9306-c30f64a19b88,73
Bellelba & Brycen-Man,ジュジュベ&ハチクマン,1,30503cd2-8ced-45f5-9b2f-acd3ee55c09a,152
Bellibolt,ハラバリー,1,eb9a2ae1-f752-48e2-bd6e-4a3103023949,41
Bellibolt ex,ハラバリーex,1,34dac2ab-c4e1-429a-a8f7-a057ae021a67,25
Bellossom,キレイハナ,1,248d92ee-d69e-493d-9d4b-0960134db32f,3
Bellsprout,マダツボミ,1,234779b1-7c9a-442f-8f8e-de41d5de658c,1
Bent Spoon,ねじれたスプーン,1,738567d0-701f-448b-bba6-70a6b90dbcc4,73
Bergmite,カチコール,1,6e0a46c7-e469-4972-ba98-131cf67c7c94,24
Bewear,キテルグマ,1,67f367c1-a48d-4f82-8b03-0cea6da851bb,49
Bianca's Devotion,ベルのまごころ,1,1fea9ad9-1344-4423-b075-978401221f70,69
Bibarel,ビーダル,1,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,122
Bicycle,じてんしゃ,1,55fb9c24-1735-4a8c-b090-eebabf950f94,54
Bidoof,ビッパ,1,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,121
Big Air Balloon,大きなふうせん,1,bb411b0c-7378-4681-8d40-30958187c747,158
Big Charm,大きなおまもり,1,e7364633-fbf1-400c-8da2-63b129f42c38,56
Big Malasada,おおきいマラサダ,1,af81f07b-2345-4f9e-baf5-adfa2bcdb807,54
Big Parasol,ビッグパラソル,1,34f34ce8-d9b4-4c63-9460-a26290607bc5,66
Bill's Analysis,マサキの解析,1,8c3e90a2-295a-49ec-a166-fec75fe3fd8e,89
Bill's Maintenance,マサキのメンテナンス,1,1778f144-2fa0-4cf0-b7ed-b8a42a4f4526,64
Bill's Transfer,マサキの転送,1,bb411b0c-7378-4681-8d40-30958187c747,164
Billowing Smoke,もくもくスモーク,1,c82f1d3a-3f74-454a-9a22-8ee9ac53e4e8,93
Binacle,カメテテ,1,ca93c4b2-7d37-4881-9306-c30f64a19b88,60
Binding Mochi,くさりもち,1,0683c46d-715d-4978-bcac-223c867795ea,57
Bird Keeper,とりつかい,1,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,155
Bisharp,キリキザン,1,012908fb-007c-486d-85ba-d2fcf10d833d,50
Blacephalon,ズガドーン,1,94db240f-1949-4c1e-9b92-12425aa31573,19
Blacephalon-GX,ズガドーンGX,1,30503cd2-8ced-45f5-9b2f-acd3ee55c09a,28
Black Kyurem,ブラックキュレム,1,4a261245-088f-4357-a2ff-6c7890e11543,25
Black Kyurem ex,ブラックキュレムex,1,154b30d7-3fc1-4322-af22-f39b9c881d45,11
Black Kyurem-EX,ブラックキュレムEX,1,eb0a6865-84ff-4f85-b031-54c9d4e4c14d,84
Black Market ◇,ブラックマーケット,1,30503cd2-8ced-45f5-9b2f-acd3ee55c09a,167
Blacksmith,鍛冶屋,1,a0688785-c0ff-43fa-84fa-48d14432b701,182
Blaine's Last Stand,カツラの一発勝負,1,80f62c95-9f01-4569-b25d-11f781e01a82,48
Blanche,ブランシェ,1,519974df-352f-47fe-a03f-04e3e551a5da,70
Blastoise,カメックス,1,30503cd2-8ced-45f5-9b2f-acd3ee55c09a,31
Blastoise & Piplup-GX,カメックス&ポッチャマGX,1,67f367c1-a48d-4f82-8b03-0cea6da851bb,16
Blastoise ex,カメックスex,1,bb411b0c-7378-4681-8d40-30958187c747,9
Blastoise Spirit Link,カメックスソウルリンク,1,13ac4f0e-0e0f-4ab3-9fa0-933a49903236,80
Blastoise-EX,カメックスEX,1,0f0b8f32-db0e-4bf1-9a12-e6692554debb,14
Blastoise-GX,カメックスGX,1,a7880f19-342f-4727-8b28-2ad012936a2f,10
Blaziken,バシャーモ,1,1778f144-2fa0-4cf0-b7ed-b8a42a4f4526,13
Blaziken V,バシャーモV,1,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,19
Blaziken VMAX,バシャーモVMAX,1,80bdd6cc-3aa6-4299-b5b1-43a5f80af030,20
Blaziken-GX,バシャーモGX,1,02909cf1-28d7-484f-bede-01b7da714ab6,18
Blend Energy GFPD,ブレンドエネルギー 草炎超悪,1,790d2460-b945-4a62-ac80-f5a10254b191,50
Blend Energy WLFM,ブレンドエネルギー 水雷闘鋼,1,6b8faf93-bc0b-4539-aca0-5b0cdcba2d41,50
Blipbug,サッチムシ,1,6e0a46c7-e469-4972-ba98-131cf67c7c94,8
Blissey,ハピナス,1,234779b1-7c9a-442f-8f8e-de41d5de658c,43
Blissey ex,ハピナスex,1,aaae146c-17af-45fb-b9fb-165ca527fc03,85
Blissey V,ハピナスV,1,c56a482d-7434-4e00-bc54-16c38f187c4e,52
Blitzle,シママ,1,c56a482d-7434-4e00-bc54-16c38f187c4e,21
Blizzard Town,ブリザードタウン,1,03ce403b-f7de-460e-931e-27de38cd44ca,49
Bloodmoon Ursaluna,ガチグマ アカツキ,1,0683c46d-715d-4978-bcac-223c867795ea,25
Bloodmoon Ursaluna ex,ガチグマ アカツキex,1,97d0e77f-4340-44e3-9fb3-6e227b079a7d,52
Blue's Tactics,グリーンの戦略,1,14496d8f-d11f-4779-bc03-b5a0e25a8a4b,87
Bodybuilding Dumbbells,ムキムキダンベル,1,a8568729-9fae-4f33-bea1-c887bbc3f41a,48
Boldore,ガントル,1,af81f07b-2345-4f9e-baf5-adfa2bcdb807,30
Boltund,パルスワン,1,8cce95a2-f537-4156-907d-f331ce13b5d6,20
Boltund V,パルスワンV,1,a945665e-c81a-4c03-924d-624a07458341,34
Boltund VMAX,パルスワンVMAX,1,a945665e-c81a-4c03-924d-624a07458341,35
Bombirdier,オトシドリ,1,15f71d52-9415-472d-a5cb-2397e385979c,56
Bombirdier ex,オトシドリex,1,c5804d11-9c59-4cad-9061-0801b0ba0d9b,51
Bonnie,ユリーカ,1,adc82cca-bad7-4c21-88f1-14482564992e,90
Bonsly,ウソハチ,1,eb9a2ae1-f752-48e2-bd6e-4a3103023949,58
Boomerang Energy,ブーメランエネルギー,1,97d0e77f-4340-44e3-9fb3-6e227b079a7d,66
Boost Shake,ぐんぐんシェイク,1,a29ec842-6bdb-4f63-9b66-6d63ca4e67cf,60
Boss's Orders,ボスの指令 | ボスの指令(アカギ) | ボスの指令(ゲーチス) | ボスの指令(サカキ) | ボスの指令(フラダリ),5,8c1bc8f3-39e4-4b18-a239-4b6b22df60a8,161
Bouffalant,バッフロン,1,ca93c4b2-7d37-4881-9306-c30f64a19b88,89
Bouffalant ex,バッフロンex,1,02eba1f1-ab17-434f-b54f-3213cbb54ca3,75
Bounsweet,アマカジ,1,ec2d763e-ea05-4f77-ade2-b439f60a2adb,7
Box of Disaster,災いの箱,1,54450e62-c2ee-4136-b175-6191e3a2acfc,66
Boxed Order,おとりよせボックス,1,87789899-88a8-4a22-81d5-44cb932626af,61
Braixen,テールナー,1,012908fb-007c-486d-85ba-d2fcf10d833d,17
Brambleghast,アノホラグサ,1,e86bad58-b459-4ac3-a82c-a122cf1755d6,12
Bramblin,アノクサ,1,e86bad58-b459-4ac3-a82c-a122cf1755d6,10
Brandon,ジンダイ,1,248d92ee-d69e-493d-9d4b-0960134db32f,94
Brassius,コルサ,1,d89dc0ae-ec18-4b7e-a147-29ceffa71c2f,190
Brave Bangle,ブレイブバングル,1,02eba1f1-ab17-434f-b54f-3213cbb54ca3,82
Bravery Charm,勇気のおまもり,1,34dac2ab-c4e1-429a-a8f7-a057ae021a67,67
Braviary,ウォーグル,1,4a261245-088f-4357-a2ff-6c7890e11543,80
Brawly,トウキ,1,b8da2cc6-5a50-4b94-898d-bbb675e70c0a,69
Breloom,キノガッサ,1,a945665e-c81a-4c03-924d-624a07458341,5
Briar,ブライア,1,db8504f1-e9f0-4e60-954a-4818040cfe98,100
Brigette,アズサ,1,e2a21580-e660-4e87-921d-56dea35352aa,57
Brionne,オシャマリ,1,575b3ae4-5c0c-4abc-93f8-f1f4cc71974a,15
Brock's Grit,タケシのガッツ,1,8c3e90a2-295a-49ec-a166-fec75fe3fd8e,87
Brock's Scouting,タケシのスカウト,1,89da1d8e-b1db-45f2-8674-eed2ab01058b,96
Bronzong,ドータクン,1,54450e62-c2ee-4136-b175-6191e3a2acfc,52
Bronzong BREAK,ドータクンBREAK,1,a0688785-c0ff-43fa-84fa-48d14432b701,83
Bronzor,ドーミラー,1,54450e62-c2ee-4136-b175-6191e3a2acfc,51
Brooklet Hill,せせらぎの丘,1,a46aa9cd-922a-487f-a7f2-940f9a23ef57,50
Bruno,シバ,1,8cce95a2-f537-4156-907d-f331ce13b5d6,66
Brute Bonnet,アラブルタケ,1,41226239-da09-4293-b6a3-d53c92094bf5,53
Bruxish,ハギギシリ,1,af81f07b-2345-4f9e-baf5-adfa2bcdb807,16
Buddy-Buddy Poffin,なかよしポフィン,1,aaae146c-17af-45fb-b9fb-165ca527fc03,133
Budew,スボミー,1,d89dc0ae-ec18-4b7e-a147-29ceffa71c2f,1
Buff Padding,ムキムキパッド,1,8c3e90a2-295a-49ec-a166-fec75fe3fd8e,83
Bug Catching Set,むしとりセット,1,aaae146c-17af-45fb-b9fb-165ca527fc03,94
Buizel,ブイゼル,1,012f4320-fb6b-4541-b502-a185ca139451,28
