card_number,link_text,scrydex_card_url,scrydex_name,scrydex_japanese_name,scrydex_rarity,scrydex_image_url,final_url,reason,official_search_url,official_detail_links_found,official_links_checked
137,Pidgey #137 $0.08,https://scrydex.com/pokemon/cards/pidgey/sv4a_ja-137?variant=normal,Pidgey,ポッポ,,https://images.scrydex.com/pokemon/sv4a_ja-137/medium,https://scrydex.com/pokemon/cards/pidgey/sv4a_ja-137?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%9D%E3%83%83%E3%83%9D&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
138,Pidgeotto #138 $0.13,https://scrydex.com/pokemon/cards/pidgeotto/sv4a_ja-138?variant=normal,Pidgeotto,ピジョン,,https://images.scrydex.com/pokemon/sv4a_ja-138/medium,https://scrydex.com/pokemon/cards/pidgeotto/sv4a_ja-138?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%94%E3%82%B8%E3%83%A7%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
139,Pidgeot ex #139 $0.28,https://scrydex.com/pokemon/cards/pidgeot-ex/sv4a_ja-139?variant=holofoil,Pidgeot ex,ピジョットex,S,https://images.scrydex.com/pokemon/sv4a_ja-139/medium,https://scrydex.com/pokemon/cards/pidgeot-ex/sv4a_ja-139?variant=holofoil,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%94%E3%82%B8%E3%83%A7%E3%83%83%E3%83%88ex&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
140,Jigglypuff #140 $0.14,https://scrydex.com/pokemon/cards/jigglypuff/sv4a_ja-140?variant=normal,Jigglypuff,プリン,,https://images.scrydex.com/pokemon/sv4a_ja-140/medium,https://scrydex.com/pokemon/cards/jigglypuff/sv4a_ja-140?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%97%E3%83%AA%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
141,Wigglytuff ex #141 $0.27,https://scrydex.com/pokemon/cards/wigglytuff-ex/sv4a_ja-141?variant=holofoil,Wigglytuff ex,プクリンex,S,https://images.scrydex.com/pokemon/sv4a_ja-141/medium,https://scrydex.com/pokemon/cards/wigglytuff-ex/sv4a_ja-141?variant=holofoil,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%97%E3%82%AF%E3%83%AA%E3%83%B3ex&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
142,Doduo #142 $0.10,https://scrydex.com/pokemon/cards/doduo/sv4a_ja-142?variant=normal,Doduo,ドードー,,https://images.scrydex.com/pokemon/sv4a_ja-142/medium,https://scrydex.com/pokemon/cards/doduo/sv4a_ja-142?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%89%E3%83%BC%E3%83%89%E3%83%BC&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
143,Dodrio #143 $0.11,https://scrydex.com/pokemon/cards/dodrio/sv4a_ja-143?variant=holofoil,Dodrio,ドードリオ,,https://images.scrydex.com/pokemon/sv4a_ja-143/medium,https://scrydex.com/pokemon/cards/dodrio/sv4a_ja-143?variant=holofoil,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%89%E3%83%BC%E3%83%89%E3%83%AA%E3%82%AA&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
144,Ditto #144 $0.32,https://scrydex.com/pokemon/cards/ditto/sv4a_ja-144?variant=holofoil,Ditto,メタモン,,https://images.scrydex.com/pokemon/sv4a_ja-144/medium,https://scrydex.com/pokemon/cards/ditto/sv4a_ja-144?variant=holofoil,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%A1%E3%82%BF%E3%83%A2%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
145,Snorlax #145 $0.18,https://scrydex.com/pokemon/cards/snorlax/sv4a_ja-145?variant=normal,Snorlax,カビゴン,,https://images.scrydex.com/pokemon/sv4a_ja-145/medium,https://scrydex.com/pokemon/cards/snorlax/sv4a_ja-145?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%AB%E3%83%93%E3%82%B4%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
146,Wingull #146 $0.07,https://scrydex.com/pokemon/cards/wingull/sv4a_ja-146?variant=normal,Wingull,キャモメ,,https://images.scrydex.com/pokemon/sv4a_ja-146/medium,https://scrydex.com/pokemon/cards/wingull/sv4a_ja-146?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%AD%E3%83%A3%E3%83%A2%E3%83%A1&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
148,Skwovet #148 $0.22,https://scrydex.com/pokemon/cards/skwovet/sv4a_ja-148?variant=normal,Skwovet,ホシガリス,,https://images.scrydex.com/pokemon/sv4a_ja-148/medium,https://scrydex.com/pokemon/cards/skwovet/sv4a_ja-148?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%9B%E3%82%B7%E3%82%AC%E3%83%AA%E3%82%B9&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
149,Greedent #149 $0.11,https://scrydex.com/pokemon/cards/greedent/sv4a_ja-149?variant=normal,Greedent,ヨクバリス,,https://images.scrydex.com/pokemon/sv4a_ja-149/medium,https://scrydex.com/pokemon/cards/greedent/sv4a_ja-149?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%A8%E3%82%AF%E3%83%90%E3%83%AA%E3%82%B9&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
150,Lechonk #150 $0.16,https://scrydex.com/pokemon/cards/lechonk/sv4a_ja-150?variant=normal,Lechonk,グルトン,,https://images.scrydex.com/pokemon/sv4a_ja-150/medium,https://scrydex.com/pokemon/cards/lechonk/sv4a_ja-150?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%B0%E3%83%AB%E3%83%88%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
151,Oinkologne #151 $0.12,https://scrydex.com/pokemon/cards/oinkologne/sv4a_ja-151?variant=normal,Oinkologne,パフュートン,,https://images.scrydex.com/pokemon/sv4a_ja-151/medium,https://scrydex.com/pokemon/cards/oinkologne/sv4a_ja-151?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%91%E3%83%95%E3%83%A5%E3%83%BC%E3%83%88%E3%83%B3&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
152,Tandemaus #152 $0.18,https://scrydex.com/pokemon/cards/tandemaus/sv4a_ja-152?variant=normal,Tandemaus,ワッカネズミ,,https://images.scrydex.com/pokemon/sv4a_ja-152/medium,https://scrydex.com/pokemon/cards/tandemaus/sv4a_ja-152?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%AF%E3%83%83%E3%82%AB%E3%83%8D%E3%82%BA%E3%83%9F&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
153,Maushold #153 $0.23,https://scrydex.com/pokemon/cards/maushold/sv4a_ja-153?variant=normal,Maushold,イッカネズミ,,https://images.scrydex.com/pokemon/sv4a_ja-153/medium,https://scrydex.com/pokemon/cards/maushold/sv4a_ja-153?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%A4%E3%83%83%E3%82%AB%E3%83%8D%E3%82%BA%E3%83%9F&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
154,Squawkabilly ex #154 $0.21,https://scrydex.com/pokemon/cards/squawkabilly-ex/sv4a_ja-154?variant=holofoil,Squawkabilly ex,イキリンコex,S,https://images.scrydex.com/pokemon/sv4a_ja-154/medium,https://scrydex.com/pokemon/cards/squawkabilly-ex/sv4a_ja-154?variant=holofoil,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%A4%E3%82%AD%E3%83%AA%E3%83%B3%E3%82%B3ex&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
155,Flamigo #155 $0.07,https://scrydex.com/pokemon/cards/flamigo/sv4a_ja-155?variant=normal,Flamigo,カラミンゴ,,https://images.scrydex.com/pokemon/sv4a_ja-155/medium,https://scrydex.com/pokemon/cards/flamigo/sv4a_ja-155?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%AB%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B4&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
156,Electric Generator #156 $0.04,https://scrydex.com/pokemon/cards/electric-generator/sv4a_ja-156?variant=normal,Electric Generator,エレキジェネレーター,,https://images.scrydex.com/pokemon/sv4a_ja-156/medium,https://scrydex.com/pokemon/cards/electric-generator/sv4a_ja-156?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%A8%E3%83%AC%E3%82%AD%E3%82%B8%E3%82%A7%E3%83%8D%E3%83%AC%E3%83%BC%E3%82%BF%E3%83%BC&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
157,Superior Energy Retrieval #157 $0.10,https://scrydex.com/pokemon/cards/superior-energy-retrieval/sv4a_ja-157?variant=normal,Superior Energy Retrieval,スーパーエネルギー回収,,https://images.scrydex.com/pokemon/sv4a_ja-157/medium,https://scrydex.com/pokemon/cards/superior-energy-retrieval/sv4a_ja-157?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC%E5%9B%9E%E5%8F%8E&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
158,Super Rod #158 $0.20,https://scrydex.com/pokemon/cards/super-rod/sv4a_ja-158?variant=normal,Super Rod,すごいつりざお,,https://images.scrydex.com/pokemon/sv4a_ja-158/medium,https://scrydex.com/pokemon/cards/super-rod/sv4a_ja-158?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%81%99%E3%81%94%E3%81%84%E3%81%A4%E3%82%8A%E3%81%96%E3%81%8A&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
159,Nest Ball #159 $0.34,https://scrydex.com/pokemon/cards/nest-ball/sv4a_ja-159?variant=normal,Nest Ball,ネストボール,,https://images.scrydex.com/pokemon/sv4a_ja-159/medium,https://scrydex.com/pokemon/cards/nest-ball/sv4a_ja-159?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%8D%E3%82%B9%E3%83%88%E3%83%9C%E3%83%BC%E3%83%AB&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
160,Nemona's Backpack #160 $0.04,https://scrydex.com/pokemon/cards/nemonas-backpack/sv4a_ja-160?variant=normal,Nemona's Backpack,ネモのリュック,,https://images.scrydex.com/pokemon/sv4a_ja-160/medium,https://scrydex.com/pokemon/cards/nemonas-backpack/sv4a_ja-160?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%8D%E3%83%A2%E3%81%AE%E3%83%AA%E3%83%A5%E3%83%83%E3%82%AF&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
161,Ultra Ball #161 $0.32,https://scrydex.com/pokemon/cards/ultra-ball/sv4a_ja-161?variant=normal,Ultra Ball,ハイパーボール,,https://images.scrydex.com/pokemon/sv4a_ja-161/medium,https://scrydex.com/pokemon/cards/ultra-ball/sv4a_ja-161?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%83%8F%E3%82%A4%E3%83%91%E3%83%BC%E3%83%9C%E3%83%BC%E3%83%AB&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
162,Letter of Encouragement #162 $0.08,https://scrydex.com/pokemon/cards/letter-of-encouragement/sv4a_ja-162?variant=normal,Letter of Encouragement,はげましのてがみ,,https://images.scrydex.com/pokemon/sv4a_ja-162/medium,https://scrydex.com/pokemon/cards/letter-of-encouragement/sv4a_ja-162?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%81%AF%E3%81%92%E3%81%BE%E3%81%97%E3%81%AE%E3%81%A6%E3%81%8C%E3%81%BF&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
163,Rare Candy #163 $0.22,https://scrydex.com/pokemon/cards/rare-candy/sv4a_ja-163?variant=normal,Rare Candy,ふしぎなアメ,,https://images.scrydex.com/pokemon/sv4a_ja-163/medium,https://scrydex.com/pokemon/cards/rare-candy/sv4a_ja-163?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%81%B5%E3%81%97%E3%81%8E%E3%81%AA%E3%82%A2%E3%83%A1&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
164,Rock Chestplate #164 $0.05,https://scrydex.com/pokemon/cards/rock-chestplate/sv4a_ja-164?variant=normal,Rock Chestplate,岩のむねあて,,https://images.scrydex.com/pokemon/sv4a_ja-164/medium,https://scrydex.com/pokemon/cards/rock-chestplate/sv4a_ja-164?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E5%B2%A9%E3%81%AE%E3%82%80%E3%81%AD%E3%81%82%E3%81%A6&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
165,Big Air Balloon #165 $0.05,https://scrydex.com/pokemon/cards/big-air-balloon/sv4a_ja-165?variant=normal,Big Air Balloon,大きなふうせん,,https://images.scrydex.com/pokemon/sv4a_ja-165/medium,https://scrydex.com/pokemon/cards/big-air-balloon/sv4a_ja-165?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E5%A4%A7%E3%81%8D%E3%81%AA%E3%81%B5%E3%81%86%E3%81%9B%E3%82%93&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
166,Rigid Band #166 $0.07,https://scrydex.com/pokemon/cards/rigid-band/sv4a_ja-166?variant=normal,Rigid Band,ガチガチバンド,,https://images.scrydex.com/pokemon/sv4a_ja-166/medium,https://scrydex.com/pokemon/cards/rigid-band/sv4a_ja-166?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%82%AC%E3%83%81%E3%82%AC%E3%83%81%E3%83%90%E3%83%B3%E3%83%89&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
167,Leftovers #167 $0.06,https://scrydex.com/pokemon/cards/leftovers/sv4a_ja-167?variant=normal,Leftovers,たべのこし,,https://images.scrydex.com/pokemon/sv4a_ja-167/medium,https://scrydex.com/pokemon/cards/leftovers/sv4a_ja-167?variant=normal,NO_EXACT_SV4A_NUMBER_MATCH_IN_OFFICIAL_RESULTS,https://www.pokemon-card.com/card-search/index.php?keyword=%E3%81%9F%E3%81%B9%E3%81%AE%E3%81%93%E3%81%97&regulation_sidebar_form=all&sm_and_keyword=true&se_ta=&illust=,0,0
