card_number,link_text,scrydex_card_url,scrydex_name,scrydex_japanese_name,scrydex_rarity,scrydex_image_url,final_url
12,Sprigatito #12 $0.16,https://scrydex.com/pokemon/cards/sprigatito/sv4a_ja-12?variant=normal,Sprigatito,ニャオハ,,https://images.scrydex.com/pokemon/sv4a_ja-12/medium,https://scrydex.com/pokemon/cards/sprigatito/sv4a_ja-12?variant=normal
13,Floragato #13 $0.17,https://scrydex.com/pokemon/cards/floragato/sv4a_ja-13?variant=normal,Floragato,ニャローテ,,https://images.scrydex.com/pokemon/sv4a_ja-13/medium,https://scrydex.com/pokemon/cards/floragato/sv4a_ja-13?variant=normal
14,Meowscarada ex #14 $0.28,https://scrydex.com/pokemon/cards/meowscarada-ex/sv4a_ja-14?variant=holofoil,Meowscarada ex,マスカーニャex,S,https://images.scrydex.com/pokemon/sv4a_ja-14/medium,https://scrydex.com/pokemon/cards/meowscarada-ex/sv4a_ja-14?variant=holofoil
15,Smoliv #15 $0.12,https://scrydex.com/pokemon/cards/smoliv/sv4a_ja-15?variant=normal,Smoliv,ミニーブ,,https://images.scrydex.com/pokemon/sv4a_ja-15/medium,https://scrydex.com/pokemon/cards/smoliv/sv4a_ja-15?variant=normal
16,Dolliv #16 $0.14,https://scrydex.com/pokemon/cards/dolliv/sv4a_ja-16?variant=normal,Dolliv,オリーニョ,,https://images.scrydex.com/pokemon/sv4a_ja-16/medium,https://scrydex.com/pokemon/cards/dolliv/sv4a_ja-16?variant=normal
17,Arboliva #17 $0.14,https://scrydex.com/pokemon/cards/arboliva/sv4a_ja-17?variant=holofoil,Arboliva,オリーヴァ,,https://images.scrydex.com/pokemon/sv4a_ja-17/medium,https://scrydex.com/pokemon/cards/arboliva/sv4a_ja-17?variant=holofoil
18,Toedscool #18 $0.11,https://scrydex.com/pokemon/cards/toedscool/sv4a_ja-18?variant=normal,Toedscool,ノノクラゲ,,https://images.scrydex.com/pokemon/sv4a_ja-18/medium,https://scrydex.com/pokemon/cards/toedscool/sv4a_ja-18?variant=normal
19,Toedscruel ex #19 $0.27,https://scrydex.com/pokemon/cards/toedscruel-ex/sv4a_ja-19?variant=holofoil,Toedscruel ex,リククラゲex,S,https://images.scrydex.com/pokemon/sv4a_ja-19/medium,https://scrydex.com/pokemon/cards/toedscruel-ex/sv4a_ja-19?variant=holofoil
20,Capsakid #20 $0.07,https://scrydex.com/pokemon/cards/capsakid/sv4a_ja-20?variant=normal,Capsakid,カプサイジ,,https://images.scrydex.com/pokemon/sv4a_ja-20/medium,https://scrydex.com/pokemon/cards/capsakid/sv4a_ja-20?variant=normal
21,Scovillain #21 $0.12,https://scrydex.com/pokemon/cards/scovillain/sv4a_ja-21?variant=holofoil,Scovillain,スコヴィラン,,https://images.scrydex.com/pokemon/sv4a_ja-21/medium,https://scrydex.com/pokemon/cards/scovillain/sv4a_ja-21?variant=holofoil
22,Rellor #22 $0.07,https://scrydex.com/pokemon/cards/rellor/sv4a_ja-22?variant=normal,Rellor,シガロコ,,https://images.scrydex.com/pokemon/sv4a_ja-22/medium,https://scrydex.com/pokemon/cards/rellor/sv4a_ja-22?variant=normal
23,Espathra ex #23 $0.20,https://scrydex.com/pokemon/cards/espathra-ex/sv4a_ja-23?variant=holofoil,Espathra ex,クエスパトラex,S,https://images.scrydex.com/pokemon/sv4a_ja-23/medium,https://scrydex.com/pokemon/cards/espathra-ex/sv4a_ja-23?variant=holofoil
24,Wo-Chien ex #24 $0.21,https://scrydex.com/pokemon/cards/wo-chien-ex/sv4a_ja-24?variant=holofoil,Wo-Chien ex,チオンジェンex,S,https://images.scrydex.com/pokemon/sv4a_ja-24/medium,https://scrydex.com/pokemon/cards/wo-chien-ex/sv4a_ja-24?variant=holofoil
25,Charmander #25 $0.22,https://scrydex.com/pokemon/cards/charmander/sv4a_ja-25?variant=normal,Charmander,ヒトカゲ,,https://images.scrydex.com/pokemon/sv4a_ja-25/medium,https://scrydex.com/pokemon/cards/charmander/sv4a_ja-25?variant=normal
26,Charmeleon #26 $0.16,https://scrydex.com/pokemon/cards/charmeleon/sv4a_ja-26?variant=normal,Charmeleon,リザード,,https://images.scrydex.com/pokemon/sv4a_ja-26/medium,https://scrydex.com/pokemon/cards/charmeleon/sv4a_ja-26?variant=normal
27,Paldean Tauros #27 $0.10,https://scrydex.com/pokemon/cards/paldean-tauros/sv4a_ja-27?variant=normal,Paldean Tauros,パルデア ケンタロス,,https://images.scrydex.com/pokemon/sv4a_ja-27/medium,https://scrydex.com/pokemon/cards/paldean-tauros/sv4a_ja-27?variant=normal
28,Entei #28 $0.17,https://scrydex.com/pokemon/cards/entei/sv4a_ja-28?variant=holofoil,Entei,エンテイ,,https://images.scrydex.com/pokemon/sv4a_ja-28/medium,https://scrydex.com/pokemon/cards/entei/sv4a_ja-28?variant=holofoil
29,Oricorio #29 $0.12,https://scrydex.com/pokemon/cards/oricorio/sv4a_ja-29?variant=holofoil,Oricorio,オドリドリ,,https://images.scrydex.com/pokemon/sv4a_ja-29/medium,https://scrydex.com/pokemon/cards/oricorio/sv4a_ja-29?variant=holofoil
30,Fuecoco #30 $0.12,https://scrydex.com/pokemon/cards/fuecoco/sv4a_ja-30?variant=normal,Fuecoco,ホゲータ,,https://images.scrydex.com/pokemon/sv4a_ja-30/medium,https://scrydex.com/pokemon/cards/fuecoco/sv4a_ja-30?variant=normal
31,Crocalor #31 $0.08,https://scrydex.com/pokemon/cards/crocalor/sv4a_ja-31?variant=normal,Crocalor,アチゲータ,,https://images.scrydex.com/pokemon/sv4a_ja-31/medium,https://scrydex.com/pokemon/cards/crocalor/sv4a_ja-31?variant=normal
32,Skeledirge ex #32 $0.41,https://scrydex.com/pokemon/cards/skeledirge-ex/sv4a_ja-32?variant=holofoil,Skeledirge ex,ラウドボーンex,S,https://images.scrydex.com/pokemon/sv4a_ja-32/medium,https://scrydex.com/pokemon/cards/skeledirge-ex/sv4a_ja-32?variant=holofoil
33,Charcadet #33 $0.10,https://scrydex.com/pokemon/cards/charcadet/sv4a_ja-33?variant=normal,Charcadet,カルボウ,,https://images.scrydex.com/pokemon/sv4a_ja-33/medium,https://scrydex.com/pokemon/cards/charcadet/sv4a_ja-33?variant=normal
34,Armarouge #34 $0.16,https://scrydex.com/pokemon/cards/armarouge/sv4a_ja-34?variant=holofoil,Armarouge,グレンアルマ,,https://images.scrydex.com/pokemon/sv4a_ja-34/medium,https://scrydex.com/pokemon/cards/armarouge/sv4a_ja-34?variant=holofoil
35,Chi-Yu ex #35 $0.30,https://scrydex.com/pokemon/cards/chi-yu-ex/sv4a_ja-35?variant=holofoil,Chi-Yu ex,イーユイex,S,https://images.scrydex.com/pokemon/sv4a_ja-35/medium,https://scrydex.com/pokemon/cards/chi-yu-ex/sv4a_ja-35?variant=holofoil
36,Slowpoke #36 $0.12,https://scrydex.com/pokemon/cards/slowpoke/sv4a_ja-36?variant=normal,Slowpoke,ヤドン,,https://images.scrydex.com/pokemon/sv4a_ja-36/medium,https://scrydex.com/pokemon/cards/slowpoke/sv4a_ja-36?variant=normal
37,Slowbro #37 $0.26,https://scrydex.com/pokemon/cards/slowbro/sv4a_ja-37?variant=holofoil,Slowbro,ヤドラン,,https://images.scrydex.com/pokemon/sv4a_ja-37/medium,https://scrydex.com/pokemon/cards/slowbro/sv4a_ja-37?variant=holofoil
38,Staryu #38 $0.13,https://scrydex.com/pokemon/cards/staryu/sv4a_ja-38?variant=normal,Staryu,ヒトデマン,,https://images.scrydex.com/pokemon/sv4a_ja-38/medium,https://scrydex.com/pokemon/cards/staryu/sv4a_ja-38?variant=normal
39,Starmie #39 $0.18,https://scrydex.com/pokemon/cards/starmie/sv4a_ja-39?variant=holofoil,Starmie,スターミー,,https://images.scrydex.com/pokemon/sv4a_ja-39/medium,https://scrydex.com/pokemon/cards/starmie/sv4a_ja-39?variant=holofoil
40,Paldean Tauros #40 $0.14,https://scrydex.com/pokemon/cards/paldean-tauros/sv4a_ja-40?variant=normal,Paldean Tauros,パルデア ケンタロス,,https://images.scrydex.com/pokemon/sv4a_ja-40/medium,https://scrydex.com/pokemon/cards/paldean-tauros/sv4a_ja-40?variant=normal
41,Quaxly #41 $0.08,https://scrydex.com/pokemon/cards/quaxly/sv4a_ja-41?variant=normal,Quaxly,クワッス,,https://images.scrydex.com/pokemon/sv4a_ja-41/medium,https://scrydex.com/pokemon/cards/quaxly/sv4a_ja-41?variant=normal
42,Quaxwell #42 $0.13,https://scrydex.com/pokemon/cards/quaxwell/sv4a_ja-42?variant=normal,Quaxwell,ウェルカモ,,https://images.scrydex.com/pokemon/sv4a_ja-42/medium,https://scrydex.com/pokemon/cards/quaxwell/sv4a_ja-42?variant=normal
43,Quaquaval ex #43 $0.22,https://scrydex.com/pokemon/cards/quaquaval-ex/sv4a_ja-43?variant=holofoil,Quaquaval ex,ウェーニバルex,S,https://images.scrydex.com/pokemon/sv4a_ja-43/medium,https://scrydex.com/pokemon/cards/quaquaval-ex/sv4a_ja-43?variant=holofoil
44,Wiglett #44 $0.09,https://scrydex.com/pokemon/cards/wiglett/sv4a_ja-44?variant=normal,Wiglett,ウミディグダ,,https://images.scrydex.com/pokemon/sv4a_ja-44/medium,https://scrydex.com/pokemon/cards/wiglett/sv4a_ja-44?variant=normal
45,Wugtrio #45 $0.10,https://scrydex.com/pokemon/cards/wugtrio/sv4a_ja-45?variant=normal,Wugtrio,ウミトリオ,,https://images.scrydex.com/pokemon/sv4a_ja-45/medium,https://scrydex.com/pokemon/cards/wugtrio/sv4a_ja-45?variant=normal
46,Finizen #46 $0.07,https://scrydex.com/pokemon/cards/finizen/sv4a_ja-46?variant=normal,Finizen,ナミイルカ,,https://images.scrydex.com/pokemon/sv4a_ja-46/medium,https://scrydex.com/pokemon/cards/finizen/sv4a_ja-46?variant=normal
47,Palafin #47 $0.13,https://scrydex.com/pokemon/cards/palafin/sv4a_ja-47?variant=holofoil,Palafin,イルカマン,,https://images.scrydex.com/pokemon/sv4a_ja-47/medium,https://scrydex.com/pokemon/cards/palafin/sv4a_ja-47?variant=holofoil
48,Veluza #48 $0.15,https://scrydex.com/pokemon/cards/veluza/sv4a_ja-48?variant=holofoil,Veluza,ミガルーサ,,https://images.scrydex.com/pokemon/sv4a_ja-48/medium,https://scrydex.com/pokemon/cards/veluza/sv4a_ja-48?variant=holofoil
49,Dondozo #49 $0.12,https://scrydex.com/pokemon/cards/dondozo/sv4a_ja-49?variant=holofoil,Dondozo,ヘイラッシャ,,https://images.scrydex.com/pokemon/sv4a_ja-49/medium,https://scrydex.com/pokemon/cards/dondozo/sv4a_ja-49?variant=holofoil
50,Tatsugiri #50 $0.11,https://scrydex.com/pokemon/cards/tatsugiri/sv4a_ja-50?variant=normal,Tatsugiri,シャリタツ,,https://images.scrydex.com/pokemon/sv4a_ja-50/medium,https://scrydex.com/pokemon/cards/tatsugiri/sv4a_ja-50?variant=normal
51,Frigibax #51 $0.09,https://scrydex.com/pokemon/cards/frigibax/sv4a_ja-51?variant=normal,Frigibax,セビエ,,https://images.scrydex.com/pokemon/sv4a_ja-51/medium,https://scrydex.com/pokemon/cards/frigibax/sv4a_ja-51?variant=normal
52,Arctibax #52 $0.11,https://scrydex.com/pokemon/cards/arctibax/sv4a_ja-52?variant=normal,Arctibax,セゴール,,https://images.scrydex.com/pokemon/sv4a_ja-52/medium,https://scrydex.com/pokemon/cards/arctibax/sv4a_ja-52?variant=normal
53,Baxcalibur #53 $0.21,https://scrydex.com/pokemon/cards/baxcalibur/sv4a_ja-53?variant=holofoil,Baxcalibur,セグレイブ,,https://images.scrydex.com/pokemon/sv4a_ja-53/medium,https://scrydex.com/pokemon/cards/baxcalibur/sv4a_ja-53?variant=holofoil
54,Chien-Pao ex #54 $0.25,https://scrydex.com/pokemon/cards/chien-pao-ex/sv4a_ja-54?variant=holofoil,Chien-Pao ex,パオジアンex,S,https://images.scrydex.com/pokemon/sv4a_ja-54/medium,https://scrydex.com/pokemon/cards/chien-pao-ex/sv4a_ja-54?variant=holofoil
55,Pikachu #55 $0.27,https://scrydex.com/pokemon/cards/pikachu/sv4a_ja-55?variant=normal,Pikachu,ピカチュウ,,https://images.scrydex.com/pokemon/sv4a_ja-55/medium,https://scrydex.com/pokemon/cards/pikachu/sv4a_ja-55?variant=normal
56,Raichu #56 $0.20,https://scrydex.com/pokemon/cards/raichu/sv4a_ja-56?variant=holofoil,Raichu,ライチュウ,,https://images.scrydex.com/pokemon/sv4a_ja-56/medium,https://scrydex.com/pokemon/cards/raichu/sv4a_ja-56?variant=holofoil
57,Voltorb #57 $0.07,https://scrydex.com/pokemon/cards/voltorb/sv4a_ja-57?variant=normal,Voltorb,ビリリダマ,,https://images.scrydex.com/pokemon/sv4a_ja-57/medium,https://scrydex.com/pokemon/cards/voltorb/sv4a_ja-57?variant=normal
58,Electrode #58 $0.13,https://scrydex.com/pokemon/cards/electrode/sv4a_ja-58?variant=holofoil,Electrode,マルマイン,,https://images.scrydex.com/pokemon/sv4a_ja-58/medium,https://scrydex.com/pokemon/cards/electrode/sv4a_ja-58?variant=holofoil
59,Shinx #59 $0.19,https://scrydex.com/pokemon/cards/shinx/sv4a_ja-59?variant=normal,Shinx,コリンク,,https://images.scrydex.com/pokemon/sv4a_ja-59/medium,https://scrydex.com/pokemon/cards/shinx/sv4a_ja-59?variant=normal
60,Luxio #60 $0.15,https://scrydex.com/pokemon/cards/luxio/sv4a_ja-60?variant=normal,Luxio,ルクシオ,,https://images.scrydex.com/pokemon/sv4a_ja-60/medium,https://scrydex.com/pokemon/cards/luxio/sv4a_ja-60?variant=normal
61,Luxray #61 $0.25,https://scrydex.com/pokemon/cards/luxray/sv4a_ja-61?variant=holofoil,Luxray,レントラー,,https://images.scrydex.com/pokemon/sv4a_ja-61/medium,https://scrydex.com/pokemon/cards/luxray/sv4a_ja-61?variant=holofoil
62,Pachirisu #62 $0.10,https://scrydex.com/pokemon/cards/pachirisu/sv4a_ja-62?variant=normal,Pachirisu,パチリス,,https://images.scrydex.com/pokemon/sv4a_ja-62/medium,https://scrydex.com/pokemon/cards/pachirisu/sv4a_ja-62?variant=normal
63,Thundurus #63 $0.14,https://scrydex.com/pokemon/cards/thundurus/sv4a_ja-63?variant=holofoil,Thundurus,ボルトロス,,https://images.scrydex.com/pokemon/sv4a_ja-63/medium,https://scrydex.com/pokemon/cards/thundurus/sv4a_ja-63?variant=holofoil
64,Toxel #64 $0.09,https://scrydex.com/pokemon/cards/toxel/sv4a_ja-64?variant=normal,Toxel,エレズン,,https://images.scrydex.com/pokemon/sv4a_ja-64/medium,https://scrydex.com/pokemon/cards/toxel/sv4a_ja-64?variant=normal
65,Toxtricity #65 $0.17,https://scrydex.com/pokemon/cards/toxtricity/sv4a_ja-65?variant=holofoil,Toxtricity,ストリンダー,,https://images.scrydex.com/pokemon/sv4a_ja-65/medium,https://scrydex.com/pokemon/cards/toxtricity/sv4a_ja-65?variant=holofoil
66,Pawmi #66 $0.08,https://scrydex.com/pokemon/cards/pawmi/sv4a_ja-66?variant=normal,Pawmi,パモ,,https://images.scrydex.com/pokemon/sv4a_ja-66/medium,https://scrydex.com/pokemon/cards/pawmi/sv4a_ja-66?variant=normal
67,Pawmo #67 $0.12,https://scrydex.com/pokemon/cards/pawmo/sv4a_ja-67?variant=normal,Pawmo,パモット,,https://images.scrydex.com/pokemon/sv4a_ja-67/medium,https://scrydex.com/pokemon/cards/pawmo/sv4a_ja-67?variant=normal
68,Pawmot #68 $0.24,https://scrydex.com/pokemon/cards/pawmot/sv4a_ja-68?variant=holofoil,Pawmot,パーモット,,https://images.scrydex.com/pokemon/sv4a_ja-68/medium,https://scrydex.com/pokemon/cards/pawmot/sv4a_ja-68?variant=holofoil
69,Wattrel #69 $0.08,https://scrydex.com/pokemon/cards/wattrel/sv4a_ja-69?variant=normal,Wattrel,カイデン,,https://images.scrydex.com/pokemon/sv4a_ja-69/medium,https://scrydex.com/pokemon/cards/wattrel/sv4a_ja-69?variant=normal
70,Kilowattrel #70 $0.12,https://scrydex.com/pokemon/cards/kilowattrel/sv4a_ja-70?variant=normal,Kilowattrel,タイカイデン,,https://images.scrydex.com/pokemon/sv4a_ja-70/medium,https://scrydex.com/pokemon/cards/kilowattrel/sv4a_ja-70?variant=normal
71,Miraidon ex #71 $0.21,https://scrydex.com/pokemon/cards/miraidon-ex/sv4a_ja-71?variant=holofoil,Miraidon ex,ミライドンex,S,https://images.scrydex.com/pokemon/sv4a_ja-71/medium,https://scrydex.com/pokemon/cards/miraidon-ex/sv4a_ja-71?variant=holofoil
72,Wigglytuff #72 $0.24,https://scrydex.com/pokemon/cards/wigglytuff/sv4a_ja-72?variant=holofoil,Wigglytuff,プクリン,,https://images.scrydex.com/pokemon/sv4a_ja-72/medium,https://scrydex.com/pokemon/cards/wigglytuff/sv4a_ja-72?variant=holofoil
73,Abra #73 $0.09,https://scrydex.com/pokemon/cards/abra/sv4a_ja-73?variant=normal,Abra,ケーシィ,,https://images.scrydex.com/pokemon/sv4a_ja-73/medium,https://scrydex.com/pokemon/cards/abra/sv4a_ja-73?variant=normal
74,Kadabra #74 $0.28,https://scrydex.com/pokemon/cards/kadabra/sv4a_ja-74?variant=normal,Kadabra,ユンゲラー,,https://images.scrydex.com/pokemon/sv4a_ja-74/medium,https://scrydex.com/pokemon/cards/kadabra/sv4a_ja-74?variant=normal
75,Alakazam ex #75 $0.36,https://scrydex.com/pokemon/cards/alakazam-ex/sv4a_ja-75?variant=holofoil,Alakazam ex,フーディンex,S,https://images.scrydex.com/pokemon/sv4a_ja-75/medium,https://scrydex.com/pokemon/cards/alakazam-ex/sv4a_ja-75?variant=holofoil
76,Mew ex #76 $1.63,https://scrydex.com/pokemon/cards/mew-ex/sv4a_ja-76?variant=holofoil,Mew ex,ミュウex,S,https://images.scrydex.com/pokemon/sv4a_ja-76/medium,https://scrydex.com/pokemon/cards/mew-ex/sv4a_ja-76?variant=holofoil
77,Cleffa #77 $0.34,https://scrydex.com/pokemon/cards/cleffa/sv4a_ja-77?variant=normal,Cleffa,ピィ,,https://images.scrydex.com/pokemon/sv4a_ja-77/medium,https://scrydex.com/pokemon/cards/cleffa/sv4a_ja-77?variant=normal
78,Natu #78 $0.07,https://scrydex.com/pokemon/cards/natu/sv4a_ja-78?variant=normal,Natu,ネイティ,,https://images.scrydex.com/pokemon/sv4a_ja-78/medium,https://scrydex.com/pokemon/cards/natu/sv4a_ja-78?variant=normal
79,Xatu #79 $0.15,https://scrydex.com/pokemon/cards/xatu/sv4a_ja-79?variant=normal,Xatu,ネイティオ,,https://images.scrydex.com/pokemon/sv4a_ja-79/medium,https://scrydex.com/pokemon/cards/xatu/sv4a_ja-79?variant=normal
80,Ralts #80 $0.12,https://scrydex.com/pokemon/cards/ralts/sv4a_ja-80?variant=normal,Ralts,ラルトス,,https://images.scrydex.com/pokemon/sv4a_ja-80/medium,https://scrydex.com/pokemon/cards/ralts/sv4a_ja-80?variant=normal
81,Kirlia #81 $0.25,https://scrydex.com/pokemon/cards/kirlia/sv4a_ja-81?variant=normal,Kirlia,キルリア,,https://images.scrydex.com/pokemon/sv4a_ja-81/medium,https://scrydex.com/pokemon/cards/kirlia/sv4a_ja-81?variant=normal
82,Gardevoir ex #82 $0.29,https://scrydex.com/pokemon/cards/gardevoir-ex/sv4a_ja-82?variant=holofoil,Gardevoir ex,サーナイトex,S,https://images.scrydex.com/pokemon/sv4a_ja-82/medium,https://scrydex.com/pokemon/cards/gardevoir-ex/sv4a_ja-82?variant=holofoil
83,Drifloon #83 $0.11,https://scrydex.com/pokemon/cards/drifloon/sv4a_ja-83?variant=normal,Drifloon,フワンテ,,https://images.scrydex.com/pokemon/sv4a_ja-83/medium,https://scrydex.com/pokemon/cards/drifloon/sv4a_ja-83?variant=normal
84,Drifblim #84 $0.07,https://scrydex.com/pokemon/cards/drifblim/sv4a_ja-84?variant=normal,Drifblim,フワライド,,https://images.scrydex.com/pokemon/sv4a_ja-84/medium,https://scrydex.com/pokemon/cards/drifblim/sv4a_ja-84?variant=normal
85,Mime Jr. #85 $0.16,https://scrydex.com/pokemon/cards/mime-jr/sv4a_ja-85?variant=normal,Mime Jr.,マネネ,,https://images.scrydex.com/pokemon/sv4a_ja-85/medium,https://scrydex.com/pokemon/cards/mime-jr/sv4a_ja-85?variant=normal
86,Spiritomb #86 $0.15,https://scrydex.com/pokemon/cards/spiritomb/sv4a_ja-86?variant=holofoil,Spiritomb,ミカルゲ,,https://images.scrydex.com/pokemon/sv4a_ja-86/medium,https://scrydex.com/pokemon/cards/spiritomb/sv4a_ja-86?variant=holofoil
87,Klefki #87 $0.17,https://scrydex.com/pokemon/cards/klefki/sv4a_ja-87?variant=holofoil,Klefki,クレッフィ,,https://images.scrydex.com/pokemon/sv4a_ja-87/medium,https://scrydex.com/pokemon/cards/klefki/sv4a_ja-87?variant=holofoil
88,Mimikyu #88 $0.39,https://scrydex.com/pokemon/cards/mimikyu/sv4a_ja-88?variant=holofoil,Mimikyu,ミミッキュ,,https://images.scrydex.com/pokemon/sv4a_ja-88/medium,https://scrydex.com/pokemon/cards/mimikyu/sv4a_ja-88?variant=holofoil
89,Fidough #89 $0.14,https://scrydex.com/pokemon/cards/fidough/sv4a_ja-89?variant=normal,Fidough,パピモッチ,,https://images.scrydex.com/pokemon/sv4a_ja-89/medium,https://scrydex.com/pokemon/cards/fidough/sv4a_ja-89?variant=normal
90,Dachsbun #90 $0.15,https://scrydex.com/pokemon/cards/dachsbun/sv4a_ja-90?variant=normal,Dachsbun,バウッツェル,,https://images.scrydex.com/pokemon/sv4a_ja-90/medium,https://scrydex.com/pokemon/cards/dachsbun/sv4a_ja-90?variant=normal
91,Ceruledge #91 $0.22,https://scrydex.com/pokemon/cards/ceruledge/sv4a_ja-91?variant=holofoil,Ceruledge,ソウブレイズ,,https://images.scrydex.com/pokemon/sv4a_ja-91/medium,https://scrydex.com/pokemon/cards/ceruledge/sv4a_ja-91?variant=holofoil
92,Rabsca #92 $0.16,https://scrydex.com/pokemon/cards/rabsca/sv4a_ja-92?variant=holofoil,Rabsca,ベラカス,,https://images.scrydex.com/pokemon/sv4a_ja-92/medium,https://scrydex.com/pokemon/cards/rabsca/sv4a_ja-92?variant=holofoil
93,Flittle #93 $0.09,https://scrydex.com/pokemon/cards/flittle/sv4a_ja-93?variant=normal,Flittle,ヒラヒナ,,https://images.scrydex.com/pokemon/sv4a_ja-93/medium,https://scrydex.com/pokemon/cards/flittle/sv4a_ja-93?variant=normal
94,Tinkatink #94 $0.13,https://scrydex.com/pokemon/cards/tinkatink/sv4a_ja-94?variant=normal,Tinkatink,カヌチャン,,https://images.scrydex.com/pokemon/sv4a_ja-94/medium,https://scrydex.com/pokemon/cards/tinkatink/sv4a_ja-94?variant=normal
95,Tinkatuff #95 $0.14,https://scrydex.com/pokemon/cards/tinkatuff/sv4a_ja-95?variant=normal,Tinkatuff,ナカヌチャン,,https://images.scrydex.com/pokemon/sv4a_ja-95/medium,https://scrydex.com/pokemon/cards/tinkatuff/sv4a_ja-95?variant=normal
96,Tinkaton #96 $0.24,https://scrydex.com/pokemon/cards/tinkaton/sv4a_ja-96?variant=holofoil,Tinkaton,デカヌチャン,,https://images.scrydex.com/pokemon/sv4a_ja-96/medium,https://scrydex.com/pokemon/cards/tinkaton/sv4a_ja-96?variant=holofoil
97,Greavard #97 $0.11,https://scrydex.com/pokemon/cards/greavard/sv4a_ja-97?variant=normal,Greavard,ボチ,,https://images.scrydex.com/pokemon/sv4a_ja-97/medium,https://scrydex.com/pokemon/cards/greavard/sv4a_ja-97?variant=normal
98,Houndstone #98 $0.10,https://scrydex.com/pokemon/cards/houndstone/sv4a_ja-98?variant=holofoil,Houndstone,ハカドッグ,,https://images.scrydex.com/pokemon/sv4a_ja-98/medium,https://scrydex.com/pokemon/cards/houndstone/sv4a_ja-98?variant=holofoil
99,Gimmighoul #99 $0.10,https://scrydex.com/pokemon/cards/gimmighoul/sv4a_ja-99?variant=normal,Gimmighoul,コレクレー,,https://images.scrydex.com/pokemon/sv4a_ja-99/medium,https://scrydex.com/pokemon/cards/gimmighoul/sv4a_ja-99?variant=normal
100,Mankey #100 $0.08,https://scrydex.com/pokemon/cards/mankey/sv4a_ja-100?variant=normal,Mankey,マンキー,,https://images.scrydex.com/pokemon/sv4a_ja-100/medium,https://scrydex.com/pokemon/cards/mankey/sv4a_ja-100?variant=normal
101,Primeape #101 $0.09,https://scrydex.com/pokemon/cards/primeape/sv4a_ja-101?variant=normal,Primeape,オコリザル,,https://images.scrydex.com/pokemon/sv4a_ja-101/medium,https://scrydex.com/pokemon/cards/primeape/sv4a_ja-101?variant=normal
