card_number,link_text,scrydex_card_url,scrydex_name,scrydex_japanese_name,scrydex_rarity,scrydex_image_url,final_url,reason
142,Doduo #142 $0.10,https://scrydex.com/pokemon/cards/doduo/sv4a_ja-142?variant=normal,Doduo,ドードー,,https://images.scrydex.com/pokemon/sv4a_ja-142/medium,https://scrydex.com/pokemon/cards/doduo/sv4a_ja-142?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
143,Dodrio #143 $0.11,https://scrydex.com/pokemon/cards/dodrio/sv4a_ja-143?variant=holofoil,Dodrio,ドードリオ,,https://images.scrydex.com/pokemon/sv4a_ja-143/medium,https://scrydex.com/pokemon/cards/dodrio/sv4a_ja-143?variant=holofoil,NO_OFFICIAL_EXACT_NUMBER_MATCH
144,Ditto #144 $0.32,https://scrydex.com/pokemon/cards/ditto/sv4a_ja-144?variant=holofoil,Ditto,メタモン,,https://images.scrydex.com/pokemon/sv4a_ja-144/medium,https://scrydex.com/pokemon/cards/ditto/sv4a_ja-144?variant=holofoil,NO_OFFICIAL_EXACT_NUMBER_MATCH
145,Snorlax #145 $0.18,https://scrydex.com/pokemon/cards/snorlax/sv4a_ja-145?variant=normal,Snorlax,カビゴン,,https://images.scrydex.com/pokemon/sv4a_ja-145/medium,https://scrydex.com/pokemon/cards/snorlax/sv4a_ja-145?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
146,Wingull #146 $0.07,https://scrydex.com/pokemon/cards/wingull/sv4a_ja-146?variant=normal,Wingull,キャモメ,,https://images.scrydex.com/pokemon/sv4a_ja-146/medium,https://scrydex.com/pokemon/cards/wingull/sv4a_ja-146?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
148,Skwovet #148 $0.22,https://scrydex.com/pokemon/cards/skwovet/sv4a_ja-148?variant=normal,Skwovet,ホシガリス,,https://images.scrydex.com/pokemon/sv4a_ja-148/medium,https://scrydex.com/pokemon/cards/skwovet/sv4a_ja-148?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
149,Greedent #149 $0.11,https://scrydex.com/pokemon/cards/greedent/sv4a_ja-149?variant=normal,Greedent,ヨクバリス,,https://images.scrydex.com/pokemon/sv4a_ja-149/medium,https://scrydex.com/pokemon/cards/greedent/sv4a_ja-149?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
150,Lechonk #150 $0.16,https://scrydex.com/pokemon/cards/lechonk/sv4a_ja-150?variant=normal,Lechonk,グルトン,,https://images.scrydex.com/pokemon/sv4a_ja-150/medium,https://scrydex.com/pokemon/cards/lechonk/sv4a_ja-150?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
151,Oinkologne #151 $0.12,https://scrydex.com/pokemon/cards/oinkologne/sv4a_ja-151?variant=normal,Oinkologne,パフュートン,,https://images.scrydex.com/pokemon/sv4a_ja-151/medium,https://scrydex.com/pokemon/cards/oinkologne/sv4a_ja-151?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
152,Tandemaus #152 $0.18,https://scrydex.com/pokemon/cards/tandemaus/sv4a_ja-152?variant=normal,Tandemaus,ワッカネズミ,,https://images.scrydex.com/pokemon/sv4a_ja-152/medium,https://scrydex.com/pokemon/cards/tandemaus/sv4a_ja-152?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
153,Maushold #153 $0.23,https://scrydex.com/pokemon/cards/maushold/sv4a_ja-153?variant=normal,Maushold,イッカネズミ,,https://images.scrydex.com/pokemon/sv4a_ja-153/medium,https://scrydex.com/pokemon/cards/maushold/sv4a_ja-153?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
154,Squawkabilly ex #154 $0.21,https://scrydex.com/pokemon/cards/squawkabilly-ex/sv4a_ja-154?variant=holofoil,Squawkabilly ex,イキリンコex,S,https://images.scrydex.com/pokemon/sv4a_ja-154/medium,https://scrydex.com/pokemon/cards/squawkabilly-ex/sv4a_ja-154?variant=holofoil,NO_OFFICIAL_EXACT_NUMBER_MATCH
155,Flamigo #155 $0.07,https://scrydex.com/pokemon/cards/flamigo/sv4a_ja-155?variant=normal,Flamigo,カラミンゴ,,https://images.scrydex.com/pokemon/sv4a_ja-155/medium,https://scrydex.com/pokemon/cards/flamigo/sv4a_ja-155?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
156,Electric Generator #156 $0.04,https://scrydex.com/pokemon/cards/electric-generator/sv4a_ja-156?variant=normal,Electric Generator,エレキジェネレーター,,https://images.scrydex.com/pokemon/sv4a_ja-156/medium,https://scrydex.com/pokemon/cards/electric-generator/sv4a_ja-156?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
157,Superior Energy Retrieval #157 $0.10,https://scrydex.com/pokemon/cards/superior-energy-retrieval/sv4a_ja-157?variant=normal,Superior Energy Retrieval,スーパーエネルギー回収,,https://images.scrydex.com/pokemon/sv4a_ja-157/medium,https://scrydex.com/pokemon/cards/superior-energy-retrieval/sv4a_ja-157?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
158,Super Rod #158 $0.20,https://scrydex.com/pokemon/cards/super-rod/sv4a_ja-158?variant=normal,Super Rod,すごいつりざお,,https://images.scrydex.com/pokemon/sv4a_ja-158/medium,https://scrydex.com/pokemon/cards/super-rod/sv4a_ja-158?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
159,Nest Ball #159 $0.34,https://scrydex.com/pokemon/cards/nest-ball/sv4a_ja-159?variant=normal,Nest Ball,ネストボール,,https://images.scrydex.com/pokemon/sv4a_ja-159/medium,https://scrydex.com/pokemon/cards/nest-ball/sv4a_ja-159?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
160,Nemona's Backpack #160 $0.04,https://scrydex.com/pokemon/cards/nemonas-backpack/sv4a_ja-160?variant=normal,Nemona's Backpack,ネモのリュック,,https://images.scrydex.com/pokemon/sv4a_ja-160/medium,https://scrydex.com/pokemon/cards/nemonas-backpack/sv4a_ja-160?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
161,Ultra Ball #161 $0.32,https://scrydex.com/pokemon/cards/ultra-ball/sv4a_ja-161?variant=normal,Ultra Ball,ハイパーボール,,https://images.scrydex.com/pokemon/sv4a_ja-161/medium,https://scrydex.com/pokemon/cards/ultra-ball/sv4a_ja-161?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
162,Letter of Encouragement #162 $0.08,https://scrydex.com/pokemon/cards/letter-of-encouragement/sv4a_ja-162?variant=normal,Letter of Encouragement,はげましのてがみ,,https://images.scrydex.com/pokemon/sv4a_ja-162/medium,https://scrydex.com/pokemon/cards/letter-of-encouragement/sv4a_ja-162?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
163,Rare Candy #163 $0.22,https://scrydex.com/pokemon/cards/rare-candy/sv4a_ja-163?variant=normal,Rare Candy,ふしぎなアメ,,https://images.scrydex.com/pokemon/sv4a_ja-163/medium,https://scrydex.com/pokemon/cards/rare-candy/sv4a_ja-163?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
164,Rock Chestplate #164 $0.05,https://scrydex.com/pokemon/cards/rock-chestplate/sv4a_ja-164?variant=normal,Rock Chestplate,岩のむねあて,,https://images.scrydex.com/pokemon/sv4a_ja-164/medium,https://scrydex.com/pokemon/cards/rock-chestplate/sv4a_ja-164?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
165,Big Air Balloon #165 $0.05,https://scrydex.com/pokemon/cards/big-air-balloon/sv4a_ja-165?variant=normal,Big Air Balloon,大きなふうせん,,https://images.scrydex.com/pokemon/sv4a_ja-165/medium,https://scrydex.com/pokemon/cards/big-air-balloon/sv4a_ja-165?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
166,Rigid Band #166 $0.07,https://scrydex.com/pokemon/cards/rigid-band/sv4a_ja-166?variant=normal,Rigid Band,ガチガチバンド,,https://images.scrydex.com/pokemon/sv4a_ja-166/medium,https://scrydex.com/pokemon/cards/rigid-band/sv4a_ja-166?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
167,Leftovers #167 $0.06,https://scrydex.com/pokemon/cards/leftovers/sv4a_ja-167?variant=normal,Leftovers,たべのこし,,https://images.scrydex.com/pokemon/sv4a_ja-167/medium,https://scrydex.com/pokemon/cards/leftovers/sv4a_ja-167?variant=normal,NO_OFFICIAL_EXACT_NUMBER_MATCH
