series_name,set_code,set_name,scrydex_id,db_cards,scrydex_numbers_found,missing_in_db,db_not_found_in_scrydex,explicit_rarity_numbers
SMシリーズ,SM6,禁断の光,sm6_ja,110,110,0,0,110
SMシリーズ,SM6a,ドラゴンストーム,sm6a_ja,66,66,0,0,66
SMシリーズ,SM6b,チャンピオンロード,sm6b_ja,86,86,0,0,86
SVシリーズ,SV10,ロケット団の栄光,sv10_ja,132,132,0,0,132
SVシリーズ,SV11B,ブラックボルト,sv11b_ja,174,174,0,0,173
SVシリーズ,SV11W,ホワイトフレア,sv11w_ja,174,174,0,0,173
SVシリーズ,SV1a,トリプレットビート,sv1a_ja,103,103,0,0,103
SMシリーズ,SM7,裂空のカリスマ,sm7_ja,112,112,0,0,112
SMシリーズ,SM7a,迅雷スパーク,sm7a_ja,73,73,0,0,73
SMシリーズ,SM7b,フェアリーライズ,sm7b_ja,63,63,0,0,63
SMシリーズ,SM8,超爆インパクト,sm8_ja,111,111,0,0,111
SMシリーズ,SM8a,ダークオーダー,sm8a_ja,65,65,0,0,65
SMシリーズ,SM8b,GXウルトラシャイニー,sm8b_ja,250,250,0,0,125
SMシリーズ,SM9,タッグボルト,sm9_ja,118,118,0,0,114
SMシリーズ,SM9a,ナイトユニゾン,sm9a_ja,70,70,0,0,66
SMシリーズ,SM9b,フルメタルウォール,sm9b_ja,69,69,0,0,65
SVシリーズ,SV1S,スカーレットex,sv1s_ja,108,108,0,0,108
SVシリーズ,SV1V,バイオレットex,sv1v_ja,108,108,0,0,108
SVシリーズ,SV2a,ポケモンカード151,sv2a_ja,210,210,0,0,210
SVシリーズ,SV2D,クレイバースト,sv2d_ja,99,99,0,0,99
SVシリーズ,SV2P,スノーハザード,sv2p_ja,99,99,0,0,99
SVシリーズ,SV3,黒炎の支配者,sv3_ja,141,141,0,0,141
SVシリーズ,SV3a,レイジングサーフ,sv3a_ja,92,92,0,0,92
SVシリーズ,SV4a,レイジングサーフ,sv4a_ja,320,250,40,110,24
SVシリーズ,SV4K,古代の咆哮,sv4k_ja,95,95,0,0,95
SVシリーズ,SV4M,未来の一閃,sv4m_ja,95,95,0,0,95
SVシリーズ,SV5a,クリムゾンヘイズ,sv5a_ja,96,96,0,0,93
SVシリーズ,SV5M,サイバージャッジ,sv5m_ja,100,100,0,0,97
SVシリーズ,SV6,変幻の仮面,sv6_ja,133,133,0,0,130
SVシリーズ,SV6a,ナイトワンダラー,sv6a_ja,94,94,0,0,91
SVシリーズ,SV7,ステラミラクル,sv7_ja,135,135,0,0,132
SVシリーズ,SV7a,楽園ドラゴーナ,sv7a_ja,94,94,0,0,91
SVシリーズ,SV8,超電ブレイカー,sv8_ja,138,138,0,0,135
SVシリーズ,SV8a,テラスタルフェスex,sv8a_ja,237,237,0,0,85
SVシリーズ,SV9,バトルパートナーズ,sv9_ja,132,132,0,0,132
SVシリーズ,SV9a,熱風のアリーナ,sv9a_ja,92,92,0,0,92
ソード・シールド,S4a,シャイニースターV,swsh4a_ja,326,250,0,76,84
BWシリーズ,BW1-Bb,ポケモンカードゲームBW 拡張パック「ブラックコレクション」,bw1b_ja,56,56,0,0,56
BWシリーズ,BW1-Bw,ポケモンカードゲームBW 拡張パック「ホワイトコレクション」,bw1w_ja,56,56,0,0,56
BWシリーズ,BW10-B,ポケモンカードゲームBW コンセプトパック「EXバトルブースト」,ebb1_ja,99,99,0,0,0
BWシリーズ,BW2-B,ポケモンカードゲームBW 拡張パック「レッドコレクション」,bw2_ja,72,72,0,0,72
BWシリーズ,BW3-Bh,ポケモンカードゲームBW 拡張パック「ヘイルブリザード」,bw3h_ja,57,57,0,0,57
BWシリーズ,BW3-Bp,ポケモンカードゲームBW 拡張パック「サイコドライブ」,bw3p_ja,57,57,0,0,57
BWシリーズ,BW5-Brn,ポケモンカードゲームBW 拡張パック「リューノブレード」,bw5d_ja,55,55,0,0,55
BWシリーズ,BW6-Bc,ポケモンカードゲームBW 拡張パック「コールドフレア」,bw6c_ja,65,65,0,0,65
BWシリーズ,BW7-B,ポケモンカードゲームBW 拡張パック「プラズマゲイル」,bw7_ja,79,79,0,0,79
BWシリーズ,BW8-Brn,ポケモンカードゲームBW 拡張パック「ライデンナックル」,bw8t_ja,58,58,0,0,58
ソード・シールド,S10b,強化拡張パック「Pokémon GO」,swsh10b_ja,101,101,0,0,88
ソード・シールド,S1W,拡張パック「ソード」,swsh1w_ja,75,75,0,0,75
ソード・シールド,S2,拡張パック「反逆クラッシュ」,swsh2_ja,115,115,0,0,115
ソード・シールド,S3,拡張パック「ムゲンゾーン」,swsh3_ja,119,119,0,0,119
ソード・シールド,S4,拡張パック「仰天のボルテッカー」,swsh4_ja,121,121,0,0,121
ソード・シールド,S5a,強化拡張パック「双璧のファイター」,swsh5a_ja,96,96,0,0,96
ソード・シールド,S7R,拡張パック「蒼空ストリーム」,swsh7r_ja,90,90,0,0,90
BWシリーズ,BW4-B,ポケモンカードゲームBW 拡張パック「ダークラッシュ」,bw4_ja,76,76,0,0,76
BWシリーズ,BW5-Brz,ポケモンカードゲームBW 拡張パック「リューズブラスト」,bw5s_ja,55,55,0,0,55
BWシリーズ,BW6-Bf,ポケモンカードゲームBW 拡張パック「フリーズボルト」,bw6f_ja,65,65,0,0,65
BWシリーズ,BW8-Brf,ポケモンカードゲームBW 拡張パック「ラセンフォース」,bw8s_ja,58,58,0,0,58
BWシリーズ,BW9-B,ポケモンカードゲームBW 拡張パック「メガロキャノン」,bw9_ja,86,86,0,0,86
SVシリーズ,SVOD,スターターセットex ダイゴのダンバル&メタグロスex,svod_ja,19,19,0,0,0
XYシリーズ,XY,ハイクラスパック「THE BEST OF XY」,xy_ja,44,188,144,0,0
ソード・シールド,S10D,拡張パック「タイムゲイザー」,swsh10d_ja,88,88,0,0,88
ソード・シールド,S1H,拡張パック「シールド」,swsh1h_ja,75,75,0,0,75
ソード・シールド,S1a,強化拡張パック「VMAXライジング」,swsh1a_ja,86,86,0,0,86
ソード・シールド,S2a,強化拡張パック「爆炎ウォーカー」,swsh2a_ja,86,86,0,0,86
ソード・シールド,S3a,強化拡張パック「伝説の鼓動」,swsh3a_ja,94,94,0,0,88
ソード・シールド,S5R,拡張パック「連撃マスター」,swsh5r_ja,91,91,0,0,91
ソード・シールド,S6a,強化拡張パック「イーブイヒーローズ」,swsh6a_ja,101,101,0,0,101
ソード・シールド,S8a,拡張パック「25th ANNIVERSARY COLLECTION」,swsh8a_ja,35,38,3,0,13
ソード・シールド,SGG,ハイクラスデッキ「ゲンガーVMAX」,sgg_ja,22,21,0,0,0
XYシリーズ,XY1-By,ポケモンカードゲームXY 拡張パック「コレクションY」,xy1y_ja,63,63,0,0,63
XYシリーズ,XY2,ポケモンカードゲームXY 拡張パック「ワイルドブレイズ」,xy2_ja,90,90,0,0,90
XYシリーズ,XY4,ポケモンカードゲームXY 拡張パック「ファントムゲート」,xy4_ja,97,97,0,0,97
XYシリーズ,XY5-Bt,ポケモンカードゲームXY 拡張パック「タイダルストーム」,xy5t_ja,80,80,0,0,80
XYシリーズ,XY8-Br,ポケモンカードゲームXY BREAK 拡張パック「赤い閃光」,xy8r_ja,65,65,0,0,65
SVシリーズ,SV5K,ワイルドフォース,sv5k_ja,100,100,0,0,97
SVシリーズ,SVOM,スターターセットex マリィのモルペコ&オーロンゲex,svom_ja,20,20,0,0,0
XYシリーズ,XY1-Bx,ポケモンカードゲームXY 拡張パック「コレクションX」,xy1x_ja,63,63,0,0,63
XYシリーズ,XY10-B,ポケモンカードゲームXY BREAK 拡張パック「めざめる超王」,xy10_ja,88,88,0,0,88
XYシリーズ,XY3,ポケモンカードゲームXY 拡張パック「ライジングフィスト」,xy3_ja,105,105,0,0,105
XYシリーズ,XY5-Bg,ポケモンカードゲームXY 拡張パック「ガイアボルケーノ」,xy5g_ja,80,80,0,0,80
XYシリーズ,XY6,ポケモンカードゲームXY 拡張パック「エメラルドブレイク」,xy6_ja,13,91,78,0,91
XYシリーズ,XY7,ポケモンカードゲームXY 拡張パック「バンデットリング」,xy7_ja,16,97,81,0,97
XYシリーズ,XY8-Bb,ポケモンカードゲームXY BREAK 拡張パック「青い衝撃」,xy8b_ja,65,65,0,0,65
XYシリーズ,XY9-B,ポケモンカードゲームXY BREAK 拡張パック「破天の怒り」,xy9_ja,89,89,0,0,89
SMシリーズ,SMM,スターターセット TAG TEAM GX 「エーフィ&デオキシスGX」「ブラッキー&ダークライGX」,smm_ja,31,31,0,0,0
SVシリーズ,WCS23,ポケモンワールドチャンピオンシップス2023横浜 記念デッキ「ピカチュウ」,wcs23_ja,30,32,2,0,0
XYシリーズ,CP4,ポケモンカードゲームXY BREAK プレミアムチャンピオンパック「EX×M×BREAK」,cp4_ja,140,140,0,0,0
XYシリーズ,CP6,ポケモンカードゲームXY BREAK コンセプトパック「ポケットモンスターカードゲーム 拡張パック 20th Anniversary」,cp6_ja,103,103,0,0,103
XYシリーズ,CP3,ポケモンカードゲームXY BREAK コンセプトパック「ポケキュンコレクション」,cp3_ja,32,32,0,0,32
XYシリーズ,CP5,ポケモンカードゲームXY BREAK コンセプトパック「幻・伝説ドリームキラコレクション」,cp5_ja,38,38,0,0,0
XYシリーズ,CP1,マグマ団VSアクア団 ダブルクライシス,cp1_ja,34,34,0,0,34
XYシリーズ,CP2,伝説キラコレクション,cp2_ja,27,27,0,0,27
BWシリーズ,DS,ポケモンカードゲームBW 拡張パック「ドラゴンセレクション」,ds1_ja,20,20,0,0,20
